Name,Team,Number,Position,Age,Height,Weight,College,Salary
Avery Bradley,Boston Celtics,0.0,PG,25.0,1.88,81.63265306122449,Texas,7730337.0
Jae Crowder,Boston Celtics,99.0,SF,25.0,1.981,106.57596371882086,Marquette,6796117.0
R.J. Hunter,Boston Celtics,28.0,SG,22.0,1.956,83.90022675736961,Georgia State,1148640.0
Jordan Mickey,Boston Celtics,55.0,PF,21.0,2.032,106.57596371882086,LSU,1170960.0
Kelly Olynyk,Boston Celtics,41.0,C,25.0,2.133,107.93650793650794,Gonzaga,2165160.0
Terry Rozier,Boston Celtics,12.0,PG,22.0,1.88,86.16780045351473,Louisville,1824360.0
Marcus Smart,Boston Celtics,36.0,PG,22.0,1.93,99.77324263038548,Oklahoma State,3431040.0
Jared Sullinger,Boston Celtics,7.0,C,24.0,2.057,117.91383219954648,Ohio State,2569260.0
Isaiah Thomas,Boston Celtics,4.0,PG,27.0,1.753,83.90022675736961,Washington,6912869.0
Evan Turner,Boston Celtics,11.0,SG,27.0,2.007,99.77324263038548,Ohio State,3425510.0
James Young,Boston Celtics,13.0,SG,20.0,1.981,97.50566893424036,Kentucky,1749840.0
Tyler Zeller,Boston Celtics,44.0,C,26.0,2.133,114.73922902494331,North Carolina,2616975.0
Markel Brown,Brooklyn Nets,22.0,SG,24.0,1.905,86.16780045351473,Oklahoma State,845059.0
Wayne Ellington,Brooklyn Nets,21.0,SG,28.0,1.93,90.70294784580499,North Carolina,1500000.0
Rondae Hollis-Jefferson,Brooklyn Nets,24.0,SG,21.0,2.007,99.77324263038548,Arizona,1335480.0
Jarrett Jack,Brooklyn Nets,2.0,PG,32.0,1.905,90.70294784580499,Georgia Tech,6300000.0
Sean Kilpatrick,Brooklyn Nets,6.0,SG,26.0,1.93,99.31972789115646,Cincinnati,134215.0
Shane Larkin,Brooklyn Nets,0.0,PG,23.0,1.803,79.36507936507937,Miami (FL),1500000.0
Brook Lopez,Brooklyn Nets,11.0,C,28.0,2.133,124.71655328798185,Stanford,19689000.0
Chris McCullough,Brooklyn Nets,1.0,PF,21.0,2.108,90.70294784580499,Syracuse,1140240.0
Willie Reed,Brooklyn Nets,33.0,PF,26.0,2.083,99.77324263038548,Saint Louis,947276.0
Thomas Robinson,Brooklyn Nets,41.0,PF,25.0,2.083,107.4829931972789,Kansas,981348.0
Henry Sims,Brooklyn Nets,14.0,C,26.0,2.083,112.47165532879818,Georgetown,947276.0
Donald Sloan,Brooklyn Nets,15.0,PG,28.0,1.905,92.9705215419501,Texas A&M,947276.0
Thaddeus Young,Brooklyn Nets,30.0,PF,27.0,2.032,100.2267573696145,Georgia Tech,11235955.0
Arron Afflalo,New York Knicks,4.0,SG,30.0,1.956,95.23809523809524,UCLA,8000000.0
Lou Amundson,New York Knicks,17.0,PF,33.0,2.057,99.77324263038548,UNLV,1635476.0
Carmelo Anthony,New York Knicks,7.0,SF,32.0,2.032,108.84353741496598,Syracuse,22875000.0
Cleanthony Early,New York Knicks,11.0,SF,25.0,2.032,95.23809523809524,Wichita State,845059.0
Langston Galloway,New York Knicks,2.0,SG,24.0,1.88,90.70294784580499,Saint Joseph's,845059.0
Jerian Grant,New York Knicks,13.0,PG,23.0,1.93,88.43537414965986,Notre Dame,1572360.0
Robin Lopez,New York Knicks,8.0,C,28.0,2.133,115.64625850340136,Stanford,12650000.0
Kyle O'Quinn,New York Knicks,9.0,PF,26.0,2.083,113.37868480725623,Norfolk State,3750000.0
Lance Thomas,New York Knicks,42.0,SF,28.0,2.032,106.57596371882086,Duke,1636842.0
Derrick Williams,New York Knicks,23.0,PF,25.0,2.032,108.84353741496598,Arizona,4000000.0
Tony Wroten,New York Knicks,5.0,SG,23.0,1.981,92.9705215419501,Washington,167406.0
Isaiah Canaan,Philadelphia 76ers,0.0,PG,25.0,1.829,91.156462585034,Murray State,947276.0
Robert Covington,Philadelphia 76ers,33.0,SF,25.0,2.057,97.50566893424036,Tennessee State,1000000.0
Joel Embiid,Philadelphia 76ers,21.0,C,22.0,2.133,113.37868480725623,Kansas,4626960.0
Jerami Grant,Philadelphia 76ers,39.0,SF,22.0,2.032,95.23809523809524,Syracuse,845059.0
Richaun Holmes,Philadelphia 76ers,22.0,PF,22.0,2.083,111.11111111111111,Bowling Green,1074169.0
Carl Landry,Philadelphia 76ers,7.0,PF,32.0,2.057,112.47165532879818,Purdue,6500000.0
Kendall Marshall,Philadelphia 76ers,5.0,PG,24.0,1.93,90.70294784580499,North Carolina,2144772.0
T.J. McConnell,Philadelphia 76ers,12.0,PG,24.0,1.88,90.70294784580499,Arizona,525093.0
Nerlens Noel,Philadelphia 76ers,4.0,PF,22.0,2.108,103.40136054421768,Kentucky,3457800.0
Jahlil Okafor,Philadelphia 76ers,8.0,C,20.0,2.108,124.71655328798185,Duke,4582680.0
Ish Smith,Philadelphia 76ers,1.0,PG,27.0,1.829,79.36507936507937,Wake Forest,947276.0
Nik Stauskas,Philadelphia 76ers,11.0,SG,22.0,1.981,92.9705215419501,Michigan,2869440.0
Hollis Thompson,Philadelphia 76ers,31.0,SG,25.0,2.032,93.42403628117914,Georgetown,947276.0
Christian Wood,Philadelphia 76ers,35.0,PF,20.0,2.108,99.77324263038548,UNLV,525093.0
DeMarre Carroll,Toronto Raptors,5.0,SF,29.0,2.032,96.14512471655328,Missouri,13600000.0
DeMar DeRozan,Toronto Raptors,10.0,SG,26.0,2.007,99.77324263038548,USC,10050000.0
James Johnson,Toronto Raptors,3.0,PF,29.0,2.057,113.37868480725623,Wake Forest,2500000.0
Cory Joseph,Toronto Raptors,6.0,PG,24.0,1.905,86.16780045351473,Texas,7000000.0
Kyle Lowry,Toronto Raptors,7.0,PG,30.0,1.829,92.9705215419501,Villanova,12000000.0
Patrick Patterson,Toronto Raptors,54.0,PF,27.0,2.057,106.57596371882086,Kentucky,6268675.0
Norman Powell,Toronto Raptors,24.0,SG,23.0,1.93,97.50566893424036,UCLA,650000.0
Terrence Ross,Toronto Raptors,31.0,SF,25.0,2.007,88.43537414965986,Washington,3553917.0
Jason Thompson,Toronto Raptors,1.0,PF,29.0,2.108,113.37868480725623,Rider,245177.0
Delon Wright,Toronto Raptors,55.0,PG,24.0,1.956,86.16780045351473,Utah,1509360.0
Harrison Barnes,Golden State Warriors,40.0,SF,24.0,2.032,102.0408163265306,North Carolina,3873398.0
Andrew Bogut,Golden State Warriors,12.0,C,31.0,2.133,117.91383219954648,Utah,13800000.0
Ian Clark,Golden State Warriors,21.0,SG,25.0,1.905,79.36507936507937,Belmont,947276.0
Stephen Curry,Golden State Warriors,30.0,PG,28.0,1.905,86.16780045351473,Davidson,11370786.0
Festus Ezeli,Golden State Warriors,31.0,C,26.0,2.108,120.18140589569161,Vanderbilt,2008748.0
Draymond Green,Golden State Warriors,23.0,PF,26.0,2.007,104.30839002267574,Michigan State,14260870.0
Andre Iguodala,Golden State Warriors,9.0,SF,32.0,1.981,97.50566893424036,Arizona,11710456.0
Kevon Looney,Golden State Warriors,36.0,SF,20.0,2.057,99.77324263038548,UCLA,1131960.0
James Michael McAdoo,Golden State Warriors,20.0,SF,23.0,2.057,108.84353741496598,North Carolina,845059.0
Brandon Rush,Golden State Warriors,4.0,SF,30.0,1.981,99.77324263038548,Kansas,1270964.0
Marreese Speights,Golden State Warriors,5.0,C,28.0,2.083,115.64625850340136,Florida,3815000.0
Klay Thompson,Golden State Warriors,11.0,SG,26.0,2.007,97.50566893424036,Washington State,15501000.0
Cole Aldrich,Los Angeles Clippers,45.0,C,27.0,2.108,113.37868480725623,Kansas,1100602.0
Jeff Ayres,Los Angeles Clippers,19.0,PF,29.0,2.057,113.37868480725623,Arizona State,111444.0
Jamal Crawford,Los Angeles Clippers,11.0,SG,36.0,1.956,88.43537414965986,Michigan,5675000.0
Branden Dawson,Los Angeles Clippers,22.0,SF,23.0,1.981,102.0408163265306,Michigan State,525093.0
Jeff Green,Los Angeles Clippers,8.0,SF,29.0,2.057,106.57596371882086,Georgetown,9650000.0
